airline,flightnumber,departureairport,arrivalairport,origindate,operationtime,departureorarrival,aircraftterminal,status,aircrafttype,hour,weekday,month,date
SF,1803,HME,ALG,2024-12-04,2024-12-04 08:05:00+00:00,ARRIVAL,1,LAN,738,8,Wednesday,December,2024-12-04
AH,1009,ORY,ALG,2024-12-04,2024-12-04 09:46:00+00:00,ARRIVAL,4,ONB,738,9,Wednesday,December,2024-12-04
SF,2320,ALG,AZR,2024-12-04,2024-12-04 13:30:00+00:00,DEPARTURE,1,SCT,DH4,13,Wednesday,December,2024-12-04
AH,6106,ALG,ORN,2024-12-04,2024-12-04 22:30:00+00:00,DEPARTURE,1,SCT,738,22,Wednesday,December,2024-12-04
AF,1655,ALG,CDG,2024-12-03,2024-12-03 19:15:00+00:00,DEPARTURE,4,SCT,223,19,Tuesday,December,2024-12-03
TU,374,TUN,ALG,2024-12-04,2024-12-04 13:36:00+00:00,ARRIVAL,4,LAN,320,13,Wednesday,December,2024-12-04
AH,6039,BLJ,ALG,2024-12-03,2024-12-03 18:59:00+00:00,ARRIVAL,1,ONB,AT7,18,Tuesday,December,2024-12-03
TK,656,ALG,IST,2024-12-03,2024-12-03 23:55:00+00:00,DEPARTURE,4,SCT,737,23,Tuesday,December,2024-12-03
AH,1217,ETZ,ALG,2024-12-03,2024-12-03 16:23:00+00:00,ARRIVAL,4,ONB,738,16,Tuesday,December,2024-12-03
SF,1803,HME,ALG,2024-12-04,2024-12-04 08:30:00+00:00,ARRIVAL,1,SCT,738,8,Wednesday,December,2024-12-04
AH,6196,ALG,CZL,2024-12-04,2024-12-04 11:20:00+00:00,DEPARTURE,1,GCL,AT7,11,Wednesday,December,2024-12-04
AF,1355,ALG,CDG,2024-12-04,2024-12-04 06:05:00+00:00,DEPARTURE,4,SCT,320,6,Wednesday,December,2024-12-04
AZ,800,FCO,ALG,2024-12-04,2024-12-04 17:00:00+00:00,ARRIVAL,4,SCT,32N,17,Wednesday,December,2024-12-04
AH,6191,CZL,ALG,2024-12-04,2024-12-04 09:47:00+00:00,ARRIVAL,1,ONB,AT7,9,Wednesday,December,2024-12-04
AH,5349,DLA,ALG,2024-12-04,2024-12-04 06:43:00+00:00,ARRIVAL,4,ONB,738,6,Wednesday,December,2024-12-04
AH,6106,ALG,ORN,2024-12-03,2024-12-03 20:45:00+00:00,DEPARTURE,1,GCL,738,20,Tuesday,December,2024-12-03
AH,2015,BCN,ALG,2024-12-04,2024-12-04 20:25:00+00:00,ARRIVAL,4,SCT,738,20,Wednesday,December,2024-12-04
LH,1316,FRA,ALG,2024-12-04,2024-12-04 12:20:00+00:00,ARRIVAL,4,SCT,321,12,Wednesday,December,2024-12-04
AH,6038,ALG,BLJ,2024-12-04,2024-12-04 08:25:00+00:00,DEPARTURE,1,SCT,738,8,Wednesday,December,2024-12-04
AH,6059,GJL,ALG,2024-12-04,2024-12-04 16:30:00+00:00,ARRIVAL,1,SCT,AT7,16,Wednesday,December,2024-12-04
AH,5349,DLA,ALG,2024-12-04,2024-12-04 06:43:00+00:00,ARRIVAL,4,ONB,738,6,Wednesday,December,2024-12-04
SV,341,JED,ALG,2024-12-03,2024-12-03 13:25:00+00:00,ARRIVAL,1,ONB,777,13,Tuesday,December,2024-12-03
TU,374,TUN,ALG,2024-12-04,2024-12-04 13:40:00+00:00,ARRIVAL,4,SCT,32L,13,Wednesday,December,2024-12-04
AH,1001,CDG,ALG,2024-12-04,2024-12-04 16:45:00+00:00,ARRIVAL,4,SCT,738,16,Wednesday,December,2024-12-04
AH,1012,ALG,CDG,2024-12-04,2024-12-04 16:40:00+00:00,DEPARTURE,4,SCT,320,16,Wednesday,December,2024-12-04
SF,2382,ALG,CBH,2024-12-04,2024-12-04 19:00:00+00:00,DEPARTURE,1,SCT,DH4,19,Wednesday,December,2024-12-04
AH,6032,ALG,TEE,2024-12-04,2024-12-04 15:25:00+00:00,DEPARTURE,1,SCT,AT7,15,Wednesday,December,2024-12-04
SF,1803,HME,ALG,2024-12-04,2024-12-04 08:05:00+00:00,ARRIVAL,1,ONB,738,8,Wednesday,December,2024-12-04
V7,2439,ALG,BOD,2024-12-04,2024-12-04 10:10:00+00:00,DEPARTURE,4,SCT,320,10,Wednesday,December,2024-12-04
BA,2816,LGW,ALG,2024-12-04,2024-12-04 12:55:00+00:00,ARRIVAL,4,SCT,320,12,Wednesday,December,2024-12-04
AF,1655,ALG,CDG,2024-12-03,2024-12-03 19:15:00+00:00,DEPARTURE,4,SCT,223,19,Tuesday,December,2024-12-03
AH,6238,GHA,ALG,2024-12-04,2024-12-04 05:10:00+00:00,ARRIVAL,1,SCT,738,5,Wednesday,December,2024-12-04
