airline,flightnumber,departureairport,arrivalairport,origindate,operationtime,departureorarrival,aircraftterminal,status,aircrafttype
SF,1803,HME,ALG,2024-12-04,2024-12-04T08:05:00Z,Arrival,1,LAN,738
AH,1009,ORY,ALG,2024-12-04,2024-12-04T09:46:00Z,Arrival,4,ONB,738
SF,2320,ALG,AZR,2024-12-04,2024-12-04T13:30:00Z,Departure,1,SCT,DH4
AH,6106,ALG,ORN,2024-12-04,2024-12-04T22:30:00Z,Departure,1,SCT,738
AF,1655,ALG,CDG,2024-12-03,2024-12-03T19:15:00Z,Departure,4,SCT,223
TU,374,TUN,ALG,2024-12-04,2024-12-04T13:36:00Z,Arrival,4,LAN,320
AH,6039,BLJ,ALG,2024-12-03,2024-12-03T18:59:00Z,Arrival,1,ONB,AT7
TK,656,ALG,IST,2024-12-03,2024-12-03T23:55:00Z,Departure,4,SCT,737
AH,1217,ETZ,ALG,2024-12-03,2024-12-03T16:23:00Z,Arrival,4,ONB,738
SF,1803,HME,ALG,2024-12-04,2024-12-04T08:30:00Z,Arrival,1,SCT,738
AH,6196,ALG,CZL,2024-12-04,2024-12-04T11:20:00Z,Departure,1,GCL,AT7
AF,1355,ALG,CDG,2024-12-04,2024-12-04T06:05:00Z,Departure,4,SCT,320
AZ,800,FCO,ALG,2024-12-04,2024-12-04T17:00:00Z,Arrival,4,SCT,32N
AH,6191,CZL,ALG,2024-12-04,2024-12-04T09:47:00Z,Arrival,1,ONB,AT7
AH,5349,DLA,ALG,2024-12-04,2024-12-04T06:43:00Z,Arrival,4,ONB,738
AH,6106,ALG,ORN,2024-12-03,2024-12-03T20:45:00Z,Departure,1,GCL,738
AH,2015,BCN,ALG,2024-12-04,2024-12-04T20:25:00Z,Arrival,4,SCT,738
LH,1316,FRA,ALG,2024-12-04,2024-12-04T12:20:00Z,Arrival,4,SCT,321
AH,6038,ALG,BLJ,2024-12-04,2024-12-04T08:25:00Z,Departure,1,SCT,738
AH,6059,GJL,ALG,2024-12-04,2024-12-04T16:30:00Z,Arrival,1,SCT,AT7
AH,5349,DLA,ALG,2024-12-04,2024-12-04T06:43:00Z,Arrival,4,ONB,738
SV,341,JED,ALG,2024-12-03,2024-12-03T13:25:00Z,Arrival,1,ONB,777
TU,374,TUN,ALG,2024-12-04,2024-12-04T13:40:00Z,Arrival,4,SCT,32L
AH,1001,CDG,ALG,2024-12-04,2024-12-04T16:45:00Z,Arrival,4,SCT,738
AH,1012,ALG,CDG,2024-12-04,2024-12-04T16:40:00Z,Departure,4,SCT,320
SF,2382,ALG,CBH,2024-12-04,2024-12-04T19:00:00Z,Departure,1,SCT,DH4
AH,6032,ALG,TEE,2024-12-04,2024-12-04T15:25:00Z,Departure,1,SCT,AT7
SF,1803,HME,ALG,2024-12-04,2024-12-04T08:05:00Z,Arrival,1,ONB,738
V7,2439,ALG,BOD,2024-12-04,2024-12-04T10:10:00Z,Departure,4,SCT,320
BA,2816,LGW,ALG,2024-12-04,2024-12-04T12:55:00Z,Arrival,4,SCT,320
AF,1655,ALG,CDG,2024-12-03,2024-12-03T19:15:00Z,Departure,4,SCT,223
AH,6238,GHA,ALG,2024-12-04,2024-12-04T05:10:00Z,Arrival,1,SCT,738
AH,1010,ALG,ORY,2024-12-04,2024-12-04T09:10:00Z,Departure,4,SCT,738
TK,653,IST,ALG,2024-12-03,2024-12-03T16:00:00Z,Arrival,4,ONB,321
AH,3001,SVO,ALG,2024-12-04,2024-12-04T07:35:00Z,Arrival,4,SCT,738
AH,1021,MRS,ALG,2024-12-04,2024-12-04T17:30:00Z,Arrival,4,SCT,738
AH,6227,HME,ALG,2024-12-04,2024-12-04T23:40:00Z,Arrival,1,DEL,AT7
SF,3000,ALG,CDG,2024-12-04,2024-12-04T17:00:00Z,Departure,4,SCT,738
AH,1036,ALG,LYS,2024-12-04,2024-12-04T10:05:00Z,Departure,4,OFB,320
AH,6043,BSK,ALG,2024-12-04,2024-12-04T19:10:00Z,Arrival,1,SCT,736
AF,1855,ALG,CDG,2024-12-04,2024-12-04T14:40:00Z,Departure,4,SCT,32A
AH,1230,ALG,CDG,2024-12-03,2024-12-03T19:00:00Z,Departure,4,OFB,738
EK,0758,ALG,DXB,2024-12-04,2024-12-04T15:40:00Z,Departure,4,SCT,77W
QR,1379,DOH,ALG,2024-12-04,2024-12-04T13:20:00Z,Arrival,4,SCT,330
SF,1120,ALG,HME,2024-12-04,2024-12-04T09:30:00Z,Departure,1,SCT,738
AF,1354,CDG,ALG,2024-12-04,2024-12-04T23:25:00Z,Arrival,4,SCT,32A
AH,1036,ALG,LYS,2024-12-04,2024-12-04T09:30:00Z,Departure,4,SCT,320
AH,3016,ALG,IST,2024-12-04,2024-12-04T09:40:00Z,Departure,4,SCT,738
AH,1191,BOD,ALG,2024-12-03,2024-12-03T19:30:00Z,Arrival,4,SCT,738
AH,6292,TMR,ALG,2024-12-04,2024-12-04T06:24:00Z,Arrival,1,ONB,736
VF,274,ALG,SAW,2024-12-04,2024-12-04T14:25:00Z,Departure,4,SCT,738
AH,6196,ALG,CZL,2024-12-04,2024-12-04T11:20:00Z,Departure,1,SCT,AT7
AH,1037,LYS,ALG,2024-12-04,2024-12-04T14:25:00Z,Arrival,4,SCT,320
AH,1010,ALG,ORY,2024-12-04,2024-12-04T09:50:00Z,Departure,4,BST,738
AH,6070,ALG,LOO,2024-12-04,2024-12-04T11:10:00Z,Departure,1,OFB,AT7
AH,1023,MRS,ALG,2024-12-04,2024-12-04T12:48:00Z,Arrival,4,ONB,738
AH,6238,GHA,ALG,2024-12-04,2024-12-04T04:15:00Z,Arrival,1,ONB,738
AH,2070,ALG,FRA,2024-12-04,2024-12-04T10:15:00Z,Departure,4,SCT,736
MS,846,ALG,CAI,2024-12-04,2024-12-04T13:45:00Z,Departure,4,SCT,321
AH,1004,ALG,ORY,2024-12-04,2024-12-04T12:00:00Z,Departure,4,OFB,330
AH,6059,GJL,ALG,2024-12-03,2024-12-03T18:43:00Z,Arrival,1,ONB,AT7
